id,kind,title,lane,depends_on,specification
CE-NF1-S01,task,Integrate existing mask and indexed gate kernels,CE-NF1-L-S,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s01.md
CE-NF1-S02,task,Distinguish shared and per-instance activity,CE-NF1-L-S,CE-NF1-S01;CE-NF1-N06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s02.md
CE-NF1-S03,task,Build a compact active-projection alternative,CE-NF1-L-S,CE-NF1-S02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s03.md
CE-NF1-S04,task,Separate primal and differential support,CE-NF1-L-S,CE-NF1-S03;CE-NF1-C03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s04.md
CE-NF1-S05,task,Implement safe topology replacement at boundaries,CE-NF1-L-S,CE-NF1-S04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s05.md
CE-NF1-S06,task,Add approximate dropping with accuracy provenance,CE-NF1-L-S,CE-NF1-S05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s06.md
CE-NF1-S07,task,Qualify churn and reuse regimes,CE-NF1-L-S,CE-NF1-S06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-s07.md
CE-NF1-D01,task,Provide local arithmetic JVP and VJP,CE-NF1-L-D,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d01.md
CE-NF1-D02,task,Extend relation response through shared topology,CE-NF1-L-D,CE-NF1-D01;CE-NF1-V07;CE-NF1-N06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d02.md
CE-NF1-D03,task,Implement n-ary evaluator derivatives,CE-NF1-L-D,CE-NF1-D02;CE-NF1-H07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d03.md
CE-NF1-D04,task,Compose forward directional programs,CE-NF1-L-D,CE-NF1-D03;CE-NF1-P07;CE-NF1-S07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d04.md
CE-NF1-D05,task,Compose reverse actions with explicit primal lifetime,CE-NF1-L-D,CE-NF1-D04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d05.md
CE-NF1-D06,task,Support selected second-direction actions,CE-NF1-L-D,CE-NF1-D05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d06.md
CE-NF1-D07,task,Validate nonsmooth boundaries and invalidation,CE-NF1-L-D,CE-NF1-D06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d07.md
CE-NF1-D08,task,Publish differential execution receipt,CE-NF1-L-D,CE-NF1-D07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-d08.md
CE-NF1-T01,task,Author independent formula and indexing referees,CE-NF1-L-T,CE-NF1-M00,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t01.md
CE-NF1-T02,task,"Author shape, numerical and nonfinite stress cases",CE-NF1-L-T,CE-NF1-T01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t02.md
CE-NF1-T03,task,Author asynchronous lifetime and failure tests,CE-NF1-L-T,CE-NF1-T02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t03.md
CE-NF1-T04,task,Qualify external custom operations and capability honesty,CE-NF1-L-T,CE-NF1-T03;CE-NF1-M30,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t04.md
CE-NF1-T05,task,Run retained and new integrated conformance,CE-NF1-L-T,CE-NF1-T04;CE-NF1-M40,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t05.md
CE-NF1-T06,task,Run sanitizer and resource qualification,CE-NF1-L-T,CE-NF1-T05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-t06.md
CE-NF1-O01,task,Establish composed baseline and complete cost records,CE-NF1-L-O,CE-NF1-M30,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o01.md
CE-NF1-O02,task,Hoist reuse and preserve prepared orders,CE-NF1-L-O,CE-NF1-O01;CE-NF1-M40,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o02.md
CE-NF1-O03,task,Fuse indexed nonlinear evaluation and assembly,CE-NF1-L-O,CE-NF1-O02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o03.md
CE-NF1-O04,task,Specialize legal batch and relation routes,CE-NF1-L-O,CE-NF1-O03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o04.md
CE-NF1-O05,task,Measure active support crossover and precision tradeoffs,CE-NF1-L-O,CE-NF1-O04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o05.md
CE-NF1-O06,task,Qualify bounded read-only replay where supported,CE-NF1-L-O,CE-NF1-O05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o06.md
CE-NF1-O07,task,Publish non-promotion or promotion decision,CE-NF1-L-O,CE-NF1-O06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-o07.md
CE-NF1-X01,task,Verify GlassHelix real-consumer receipt,CE-NF1-L-X,CE-NF1-M50,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-x01.md
CE-NF1-M00,task,Baseline and ownership accepted,CE-NF1-L-M,CE-NF1-A04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m00.md
CE-NF1-M10,task,Developmental contracts published,CE-NF1-L-M,CE-NF1-M00;CE-NF1-C06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m10.md
CE-NF1-M20,task,Linked execution and numeric core published,CE-NF1-L-M,CE-NF1-M10;CE-NF1-B06;CE-NF1-P07;CE-NF1-V07;CE-NF1-N06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m20.md
CE-NF1-M30,task,Combinatorial and support execution published,CE-NF1-L-M,CE-NF1-M20;CE-NF1-H07;CE-NF1-S07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m30.md
CE-NF1-M40,task,Directional differential execution published,CE-NF1-L-M,CE-NF1-M30;CE-NF1-D08,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m40.md
CE-NF1-M50,task,Consumer-ready qualified capability bundle,CE-NF1-L-M,CE-NF1-M40;CE-NF1-T06;CE-NF1-O07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m50.md
CE-NF1-M90,task,Cellerator foundation closed and integrated,CE-NF1-L-M,CE-NF1-M50;CE-NF1-X01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-m90.md
