checkpoint_id,owner_task_id,title,publishes_interfaces
CE-CCP1-CP-E02,CE-CCP1-E02-018,"JBC evidence, discovery, certification, and atom compiler rehoming complete",CE-CCP1-I20-DISCOVERY-ATOM
CE-CCP1-CP-E03,CE-CCP1-E03-018,"JBC composition, grammar, basis, global program, and schedule rehoming complete",CE-CCP1-I21-COMPOSITION-BASIS;CE-CCP1-I22-PROGRAM-RULESET
CE-CCP1-CP-E04,CE-CCP1-E04-018,"Decomposition, candidate catalogs, complete costs, and planner integration complete",CE-CCP1-I23-PLANNER
CE-CCP1-CP-F01,CE-CCP1-F01-018,"Realization IR, physical objects, stage graphs, and readiness complete",CE-CCP1-I24-REALIZATION-IR
CE-CCP1-CP-F02,CE-CCP1-F02-014,Backend framework and CPU/native C++ object emission complete,CE-CCP1-I25-BACKEND-ABI;CE-CCP1-I26-CPU-BACKEND
CE-CCP1-CP-F03,CE-CCP1-F03-015,CUDA source and NVCC backend complete,CE-CCP1-I27-NVCC-BACKEND
CE-CCP1-CP-F04,CE-CCP1-F04-013,"Clang CUDA, LLVM/NVPTX, and direct PTX routes complete",CE-CCP1-I28-NVPTX-BACKEND
CE-CCP1-CP-G01,CE-CCP1-G01-016,Source reflection and inline writable CEIR complete,CE-CCP1-I29-REFLECTION
CE-CCP1-CP-G02,CE-CCP1-G02-018,"Open pass pipeline, custom extensions, and same-compilation transforms complete",CE-CCP1-I30-PASS-EXTENSION;CE-CCP1-I31-SELF-TRANSFORM
CE-CCP1-CP-G03,CE-CCP1-G03-016,"Validation modes, diagnostics, provenance, and compiler explainability complete",CE-CCP1-I32-DIAGNOSTICS-PROVENANCE
CE-CCP1-CP-H01,CE-CCP1-H01-016,"Cross-translation-unit CEIR, object sections, archives, and Cellerator LTO complete",CE-CCP1-I33-OBJECT-CEIR;CE-CCP1-I34-CELLERATOR-LTO
CE-CCP1-CP-H02,CE-CCP1-H02-016,libCellerator compiler APIs and runtime/execution SDK complete,CE-CCP1-I35-LIBCELLERATOR-COMPILER;CE-CCP1-I36-LIBCELLERATOR-RUNTIME
CE-CCP1-CP-H03,CE-CCP1-H03-018,"Cellerator standard library, reference profiles, installation, and package integration complete",CE-CCP1-I37-STDLIB-SDK;CE-CCP1-I38-PACKAGE
CE-CCP1-CP-I01,CE-CCP1-I01-014,"celleratord core, clangd compatibility, and incremental compiler snapshots complete",CE-CCP1-I39-CELLERATORD-CORE
CE-CCP1-CP-I02,CE-CCP1-I02-014,"celleratord biological semantics, profiles, IR, planning, and native navigation complete",CE-CCP1-I40-CELLERATORD-SEMANTIC
CE-CCP1-CP-J01,CE-CCP1-J01-012,"Compiler conformance, fuzzing, differential validation, and resilience complete",
CE-CCP1-CP-J02,CE-CCP1-J02-014,Complete-cost performance program and benchmarkable vertical slices complete,
CE-CCP1-CP-J03,CE-CCP1-J03-013,"Integration, specification reconciliation, SDK release, and Part One closure complete",CE-CCP1-I41-PART1-COMPLETE
CE-CCP1-MILESTONE-M00,CE-CCP1-M00,"Architecture, ownership, and migration authority frozen",
CE-CCP1-MILESTONE-M10,CE-CCP1-M10,"Host-only build, driver, source pipeline, and C++ bridge integrated",
CE-CCP1-MILESTONE-M20,CE-CCP1-M20,"Source language parser, AST, Sema, and execution-field semantics integrated",
CE-CCP1-MILESTONE-M30,CE-CCP1-M30,"Common CEIR, Semantic IR, and representative profile environment integrated",
CE-CCP1-MILESTONE-M40,CE-CCP1-M40,Planning IR and Cellerator-owned JBC compiler logic integrated,
CE-CCP1-MILESTONE-M50,CE-CCP1-M50,Realization IR and CPU/NVIDIA backend foundation integrated,
CE-CCP1-MILESTONE-M60,CE-CCP1-M60,"Reflection, open passes, self-transforms, validation modes, and provenance integrated",
CE-CCP1-MILESTONE-M70,CE-CCP1-M70,"Cross-TU/LTO, libCellerator, standard library, and installable SDK integrated",
CE-CCP1-MILESTONE-M80,CE-CCP1-M80,celleratord core and Cellerator-aware semantic tooling integrated,
CE-CCP1-MILESTONE-M90,CE-CCP1-M90,Part One compiler family final acceptance,
